path,sentence
record_smarthome_7000038_296.wav,ปรับเป็นน้ำเย็น
record_smarthome_7000040_135.wav,ตรวจสอบเครื่องใช้ไฟฟ้าในครัวในห้องครัว
record_smarthome_7000039_2502.wav,เปิดไมโครเวฟ
record_smarthome_7000031_199.wav,ทำความสะอาดพื้นที่จอดรถ
record_smarthome_7000040_1841.wav,เปิดเครื่องกรองอากาศในห้องนั่งเล่น
record_smarthome_7000041_687.wav,ปิดแก๊สเมื่อครบสิบนาที
record_smarthome_7000050_2520.wav,เพิ่มความแรงน้ำ
record_smarthome_7000022_2151.wav,เปิดแอร์อุณหภูมิห้อง
record_smarthome_7000016_1842.wav,เปิดเครื่องกรองและฟอกอากาศภายในห้องอาหารด้วย
record_smarthome_7000054_425.wav,ปิดน้ำในห้องน้ำ
record_smarthome_7000021_1850.wav,เปิดเครื่องชงกาแฟห้องอาหารให้หน่อย
record_smarthome_7000021_84.wav,ช่วยระบายน้ำออกด้วยนะ
record_smarthome_7000041_2573.wav,เริ่มการล้างจานอัตโนมัติ
record_smarthome_7000032_458.wav,ปิดประตูห้องเก็บของในอีกห้านาที
record_smarthome_7000026_38.wav,ข้ามเพลงนี้
record_smarthome_7000025_1513.wav,เปิดประตูรถ
record_smarthome_7000035_1060.wav,อบขนมยี่สิบห้านาที
record_smarthome_7000021_1819.wav,เปิดหน้าต่างโรงรถ
record_smarthome_7000022_1554.wav,เปิดผ้าม่านรับลมให้ฉันที
record_smarthome_7000019_1216.wav,เปลี่ยนสีไฟห้องนั่งเล่นเป็นสีเหลือง
record_smarthome_7000034_1502.wav,เปิดประตูทางเข้าที่จอดรถ
record_smarthome_7000041_2476.wav,เปิดไฟในห้องนั่งเล่นทันทีที่ฉันเดินเข้ามา
record_smarthome_7000037_622.wav,ปิดเครื่องทำน้ำร้อนให้หน่อย
record_smarthome_7000023_1879.wav,เปิดเครื่องดูดอากาศ
record_smarthome_7000029_2552.wav,เพิ่มเสียงทีวีในห้องอาหาร
record_smarthome_7000037_641.wav,ปิดเครื่องระบายความชื้น
record_smarthome_7000028_403.wav,ปิดน้ำที่จอดรถ
record_smarthome_7000016_1857.wav,เปิดเครื่องดูดควัน
record_smarthome_7000038_2500.wav,เปิดไฟไว้สิบห้านาที
record_smarthome_7000021_622.wav,ปิดเครื่องทำน้ำร้อนให้หน่อย
record_smarthome_7000018_2164.wav,เปิดแอร์ในห้องเก็บของ
record_smarthome_7000025_181.wav,ตั้งเวลาในการปิดไฟ
record_smarthome_7000033_2038.wav,เปิดเพลงระหว่างทานอาหารให้ฉัน
record_smarthome_7000019_553.wav,ปิดม่านอาบน้ำ
record_smarthome_7000033_347.wav,ปิดกล้องวงจรปิดหลังบ้าน
record_smarthome_7000043_2325.wav,เปิดไฟทุกดวง
record_smarthome_7000044_1133.wav,อ่านหนังสือเล่มนี้ให้ฟังหน่อย
record_smarthome_7000027_1307.wav,เปิดก๊อกน้ำในห้องน้ำ
record_smarthome_7000036_126.wav,ตรวจจับการเคลื่อนไหว
record_smarthome_7000042_518.wav,ปิดพัดลมในห้องนั่งเล่นอีกสามสิบนาที
record_smarthome_7000040_1278.wav,เปิดกล้องวงจรปิดห้องเก็บของในอีกห้านาที
